"","stadium","full_team_name","team","team_abbr","x","y","d_wall","segment","spray_angle_stadia","fence_height","orientation","distance"
"871","Globe Life Field","Texas Rangers","rangers","TEX",240.096527499102,244.763355099421,342.863591704708,"outfield_outer",33.3,8,"SSE",342.863591704708
"872","Globe Life Field","Texas Rangers","rangers","TEX",238.49473422114,259.36203493597,352.346992916555,"outfield_outer",31.9,8,"SSE",352.346992916555
"873","Globe Life Field","Texas Rangers","rangers","TEX",229.823992581344,270.677654574936,355.085145073992,"outfield_outer",30.3,8,"SSE",355.085145073992
"874","Globe Life Field","Texas Rangers","rangers","TEX",219.437906391668,281.089459020525,356.601007757984,"outfield_outer",28.5,8,"SSE",356.601007757984
"875","Globe Life Field","Texas Rangers","rangers","TEX",209.021682559706,291.47082973443,358.671588456861,"outfield_outer",26.7,8,"SSE",358.671588456861
"876","Globe Life Field","Texas Rangers","rangers","TEX",198.632417541251,301.87878464312,361.366348621297,"outfield_outer",25,8,"SSE",361.366348621297
"877","Globe Life Field","Texas Rangers","rangers","TEX",188.234036602449,312.278267999895,364.622776579668,"outfield_outer",23.3,8,"SSE",364.622776579668
"878","Globe Life Field","Texas Rangers","rangers","TEX",177.802610364181,322.642826119915,368.391315721425,"outfield_outer",21.6,8,"SSE",368.391315721425
"879","Globe Life Field","Texas Rangers","rangers","TEX",167.396954486836,333.034994433163,372.738578481709,"outfield_outer",20,8,"SSE",372.738578481709
"880","Globe Life Field","Texas Rangers","rangers","TEX",157.000180366726,343.436154019521,377.620773426072,"outfield_outer",18.4,8,"SSE",377.620773426072
"881","Globe Life Field","Texas Rangers","rangers","TEX",146.628149261135,353.850016373296,383.02695498245,"outfield_outer",16.9,8,"SSE",383.02695498245
"882","Globe Life Field","Texas Rangers","rangers","TEX",133.208499745226,358.009661389479,381.988772155129,"outfield_outer",15.3,8,"SSE",381.988772155129
"883","Globe Life Field","Texas Rangers","rangers","TEX",121.108138559604,364.792394102744,384.370487967774,"outfield_outer",13.8,8,"SSE",384.370487967774
"884","Globe Life Field","Texas Rangers","rangers","TEX",110.649904136407,375.131751657985,391.110256049856,"outfield_outer",12.3,8,"SSE",391.110256049856
"885","Globe Life Field","Texas Rangers","rangers","TEX",100.179366628375,385.458470331745,398.263904777412,"outfield_outer",10.9,8,"SSE",398.263904777412
"886","Globe Life Field","Texas Rangers","rangers","TEX",89.7521400654475,395.829102205211,405.876982346758,"outfield_outer",9.6,8,"SSE",405.876982346758
"887","Globe Life Field","Texas Rangers","rangers","TEX",78.7796258577559,405.16438855383,412.752239488155,"outfield_outer",8.3,8,"SSE",412.752239488155
"888","Globe Life Field","Texas Rangers","rangers","TEX",64.1524785035594,406.061918670471,411.098312198547,"outfield_outer",6.7,8,"SSE",411.098312198547
"889","Globe Life Field","Texas Rangers","rangers","TEX",49.447271676823,405.94584486,408.94628209018,"outfield_outer",5.2,8,"SSE",408.94628209018
"890","Globe Life Field","Texas Rangers","rangers","TEX",34.7424320308061,405.7961046,407.280634319813,"outfield_outer",3.7,8,"SSE",407.280634319813
"891","Globe Life Field","Texas Rangers","rangers","TEX",20.036064582014,405.7961046,406.290440931692,"outfield_outer",2.1,8,"SSE",406.290440931692
"892","Globe Life Field","Texas Rangers","rangers","TEX",5.32969713322443,405.7961046,405.831103022016,"outfield_outer",0.6,8,"SSE",405.831103022016
"893","Globe Life Field","Texas Rangers","rangers","TEX",-9.37619756908797,405.704231768551,405.812563575556,"outfield_outer",-1,8,"SSE",405.812563575556
"894","Globe Life Field","Texas Rangers","rangers","TEX",-24.0822672516889,405.64636434,406.360589253242,"outfield_outer",-2.5,8,"SSE",406.360589253242
"895","Globe Life Field","Texas Rangers","rangers","TEX",-38.7886347004785,405.64636434,407.496663893322,"outfield_outer",-4.1,8,"SSE",407.496663893322
"896","Globe Life Field","Texas Rangers","rangers","TEX",-53.4873329845417,405.473173562873,408.985805705953,"outfield_outer",-5.6,8,"SSE",408.985805705953
"897","Globe Life Field","Texas Rangers","rangers","TEX",-67.1228858146061,400.714765862663,406.297680747071,"outfield_outer",-7.1,8,"SSE",406.297680747071
"898","Globe Life Field","Texas Rangers","rangers","TEX",-80.6567731604382,394.961901470401,403.11340671053,"outfield_outer",-8.7,8,"SSE",403.11340671053
"899","Globe Life Field","Texas Rangers","rangers","TEX",-94.2228073737627,389.284975730102,400.525566922487,"outfield_outer",-10.2,8,"SSE",400.525566922487
