"","stadium","full_team_name","team","team_abbr","x","y","d_wall","segment","spray_angle_stadia","fence_height","orientation","distance"
"1","Angel Stadium","Los Angeles Angels","angels","LAA",-245.694422669191,264.87664362521,361.282971739471,"outfield_outer",-32.1,5,"NE",361.282971739471
"2","Angel Stadium","Los Angeles Angels","angels","LAA",-239.409792472286,278.373756057074,367.163446972797,"outfield_outer",-30.5,5,"NE",367.163446972797
"3","Angel Stadium","Los Angeles Angels","angels","LAA",-229.636284132714,289.714186731398,369.685180908994,"outfield_outer",-28.8,5,"NE",369.685180908994
"4","Angel Stadium","Los Angeles Angels","angels","LAA",-219.417767535372,300.699533416233,372.242348621092,"outfield_outer",-27.1,8,"NE",372.242348621092
"5","Angel Stadium","Los Angeles Angels","angels","LAA",-209.13024124048,311.620326835257,375.290135626043,"outfield_outer",-25.4,8,"NE",375.290135626043
"6","Angel Stadium","Los Angeles Angels","angels","LAA",-198.764118675675,322.46646603379,378.803110585485,"outfield_outer",-23.7,8,"NE",378.803110585485
"7","Angel Stadium","Los Angeles Angels","angels","LAA",-188.445183727551,333.357371974396,382.934360850246,"outfield_outer",-22.1,8,"NE",382.934360850246
"8","Angel Stadium","Los Angeles Angels","angels","LAA",-178.191127553129,344.309523433421,387.68689153182,"outfield_outer",-20.5,8,"NE",387.68689153182
"9","Angel Stadium","Los Angeles Angels","angels","LAA",-167.930837834896,355.25573252071,392.94707249801,"outfield_outer",-19,8,"NE",392.94707249801
"10","Angel Stadium","Los Angeles Angels","angels","LAA",-156.494797483275,364.556288992579,396.726492036229,"outfield_outer",-17.4,8,"NE",396.726492036229
"11","Angel Stadium","Los Angeles Angels","angels","LAA",-141.999300338386,368.424526265404,394.842288579223,"outfield_outer",-15.8,8,"NE",394.842288579223
"12","Angel Stadium","Los Angeles Angels","angels","LAA",-127.497945467168,372.27043859847,393.498418742244,"outfield_outer",-14.2,8,"NE",393.498418742244
"13","Angel Stadium","Los Angeles Angels","angels","LAA",-113.033303958897,376.25380797185,392.865696920948,"outfield_outer",-12.5,8,"NE",392.865696920948
"14","Angel Stadium","Los Angeles Angels","angels","LAA",-98.5588952074925,380.201386633081,392.768316214838,"outfield_outer",-10.9,8,"NE",392.768316214838
"15","Angel Stadium","Los Angeles Angels","angels","LAA",-84.1009643340258,384.209605885161,393.306487940822,"outfield_outer",-9.3,8,"NE",393.306487940822
"16","Angel Stadium","Los Angeles Angels","angels","LAA",-69.5985071850328,388.053453882264,394.245399811259,"outfield_outer",-7.6,8,"NE",394.245399811259
"17","Angel Stadium","Los Angeles Angels","angels","LAA",-55.1223528626003,391.995347075404,395.852025274439,"outfield_outer",-6,8,"NE",395.852025274439
"18","Angel Stadium","Los Angeles Angels","angels","LAA",-40.6423990349494,395.923130273733,398.003680491861,"outfield_outer",-4.4,8,"NE",398.003680491861
"19","Angel Stadium","Los Angeles Angels","angels","LAA",-26.1647487131363,399.859464528833,400.714593505785,"outfield_outer",-2.8,8,"NE",400.714593505785
"20","Angel Stadium","Los Angeles Angels","angels","LAA",-11.6847598735448,403.787245895272,403.956276793654,"outfield_outer",-1.2,8,"NE",403.956276793654
"21","Angel Stadium","Los Angeles Angels","angels","LAA",2.79141735600694,407.728978865649,407.738534133923,"outfield_outer",0.3,8,"NE",407.738534133923
"22","Angel Stadium","Los Angeles Angels","angels","LAA",17.1033395563452,410.198738588461,410.555147773773,"outfield_outer",1.8,8,"NE",410.555147773773
"23","Angel Stadium","Los Angeles Angels","angels","LAA",30.3146253303594,403.088323467979,404.226635719551,"outfield_outer",3.2,8,"NE",404.226635719551
"24","Angel Stadium","Los Angeles Angels","angels","LAA",43.5278383758316,395.981384474282,398.366576865883,"outfield_outer",4.7,8,"NE",398.366576865883
"25","Angel Stadium","Los Angeles Angels","angels","LAA",56.7557516700314,388.901883786998,393.021488675499,"outfield_outer",6.2,8,"NE",393.021488675499
"26","Angel Stadium","Los Angeles Angels","angels","LAA",69.9665001626834,381.790407222431,388.148458958791,"outfield_outer",7.8,8,"NE",388.148458958791
"27","Angel Stadium","Los Angeles Angels","angels","LAA",83.1790329431707,374.682205628968,383.803995206342,"outfield_outer",9.4,8,"NE",383.803995206342
"28","Angel Stadium","Los Angeles Angels","angels","LAA",96.388210107774,367.567782825751,379.995739475088,"outfield_outer",11,8,"NE",379.995739475088
"29","Angel Stadium","Los Angeles Angels","angels","LAA",109.592794281379,360.444917824219,376.737467400985,"outfield_outer",12.7,8,"NE",376.737467400985
"30","Angel Stadium","Los Angeles Angels","angels","LAA",122.840034644494,353.402528359974,374.143049063701,"outfield_outer",14.4,8,"NE",374.143049063701
"31","Angel Stadium","Los Angeles Angels","angels","LAA",136.07709152303,346.341122773749,372.114428854281,"outfield_outer",16.1,8,"NE",372.114428854281
"32","Angel Stadium","Los Angeles Angels","angels","LAA",149.278920623404,339.213099177137,370.607235217888,"outfield_outer",17.8,8,"NE",370.607235217888
"33","Angel Stadium","Los Angeles Angels","angels","LAA",162.503151054335,332.126711707223,369.750492537929,"outfield_outer",19.6,8,"NE",369.750492537929
"34","Angel Stadium","Los Angeles Angels","angels","LAA",175.706371912481,325.001251386141,369.457091599559,"outfield_outer",21.3,8,"NE",369.457091599559
"35","Angel Stadium","Los Angeles Angels","angels","LAA",188.873899104791,317.810487299943,369.698330535687,"outfield_outer",23,8,"NE",369.698330535687
"36","Angel Stadium","Los Angeles Angels","angels","LAA",202.103744922563,310.735195261355,370.678142444138,"outfield_outer",24.8,8,"NE",370.678142444138
"37","Angel Stadium","Los Angeles Angels","angels","LAA",214.8694348091,302.922373668297,371.390412482629,"outfield_outer",26.5,8,"NE",371.390412482629
"38","Angel Stadium","Los Angeles Angels","angels","LAA",226.101421136227,292.975591629985,370.076410935311,"outfield_outer",28.2,8,"NE",370.076410935311
"39","Angel Stadium","Los Angeles Angels","angels","LAA",236.079826490092,282.024464600342,367.792717585193,"outfield_outer",29.9,5,"NE",367.792717585193
"40","Angel Stadium","Los Angeles Angels","angels","LAA",242.409530824176,268.470467217462,361.71642539752,"outfield_outer",31.6,5,"NE",361.71642539752
"41","Angel Stadium","Los Angeles Angels","angels","LAA",246.21056064918,253.978007856296,353.729372048514,"outfield_outer",33.1,5,"NE",353.729372048514
"42","Minute Maid Park","Houston Astros","astros","HOU",232.256159990684,240.398075246919,334.266597846751,"outfield_outer",33,7,"ENE",334.266597846751
"43","Minute Maid Park","Houston Astros","astros","HOU",222.919313707811,251.704212327843,336.226160385449,"outfield_outer",31.1,7,"ENE",336.226160385449
"44","Minute Maid Park","Houston Astros","astros","HOU",213.625691503817,263.043406765959,338.86246459814,"outfield_outer",29.3,7,"ENE",338.86246459814
"45","Minute Maid Park","Houston Astros","astros","HOU",204.307003187797,274.364339877781,342.077684960812,"outfield_outer",27.5,7,"ENE",342.077684960812
"46","Minute Maid Park","Houston Astros","astros","HOU",194.999808887465,285.694726543295,345.899410581742,"outfield_outer",25.7,7,"ENE",345.899410581742
"47","Minute Maid Park","Houston Astros","astros","HOU",185.561910683071,296.916435978914,350.132250229499,"outfield_outer",24,7,"ENE",350.132250229499
"48","Minute Maid Park","Houston Astros","astros","HOU",176.181087262335,308.185995456734,354.990680588373,"outfield_outer",22.3,7,"ENE",354.990680588373
"49","Minute Maid Park","Houston Astros","astros","HOU",166.823720865924,319.475160075649,360.408839720828,"outfield_outer",20.7,7,"ENE",360.408839720828
"50","Minute Maid Park","Houston Astros","astros","HOU",157.498383079741,330.790765091805,366.371766028381,"outfield_outer",19.1,7,"ENE",366.371766028381
"51","Minute Maid Park","Houston Astros","astros","HOU",148.10096225198,342.045877732085,372.732179310393,"outfield_outer",17.6,9,"ENE",372.732179310393
"52","Minute Maid Park","Houston Astros","astros","HOU",135.764680081665,348.232407931158,373.761766759535,"outfield_outer",16,9,"ENE",373.761766759535
"53","Minute Maid Park","Houston Astros","astros","HOU",125.658763158373,358.673276764342,380.048213024825,"outfield_outer",14.5,9,"ENE",380.048213024825
"54","Minute Maid Park","Houston Astros","astros","HOU",116.347942763098,370.000697925095,387.86255329725,"outfield_outer",13.1,9,"ENE",387.86255329725
"55","Minute Maid Park","Houston Astros","astros","HOU",107.056378296004,381.344077874142,396.086321227503,"outfield_outer",11.8,9,"ENE",396.086321227503
"56","Minute Maid Park","Houston Astros","astros","HOU",97.7606302167129,392.683985077764,404.670054435614,"outfield_outer",10.5,9,"ENE",404.670054435614
"57","Minute Maid Park","Houston Astros","astros","HOU",87.7952555807446,403.417803287062,412.860667673062,"outfield_outer",9.2,9,"ENE",412.860667673062
"58","Minute Maid Park","Houston Astros","astros","HOU",79.0511320540521,414.956550914206,422.419247461146,"outfield_outer",8.1,9,"ENE",422.419247461146
"59","Minute Maid Park","Houston Astros","astros","HOU",69.6466721281536,425.853928323431,431.511560919316,"outfield_outer",7,9,"ENE",431.511560919316
"60","Minute Maid Park","Houston Astros","astros","HOU",57.4644107821063,434.004830648003,437.792589627025,"outfield_outer",5.7,9,"ENE",437.792589627025
"61","Minute Maid Park","Houston Astros","astros","HOU",44.0978878600416,439.924933118438,442.129585634097,"outfield_outer",4.3,9,"ENE",442.129585634097
"62","Minute Maid Park","Houston Astros","astros","HOU",29.8321287198112,443.163189953105,444.166150031008,"outfield_outer",2.9,9,"ENE",444.166150031008
"63","Minute Maid Park","Houston Astros","astros","HOU",15.6409780947091,443.468253983578,443.743994310911,"outfield_outer",1.5,9,"ENE",443.743994310911
"64","Minute Maid Park","Houston Astros","astros","HOU",7.70097788864287,431.329856996801,431.398598279273,"outfield_outer",0.8,9,"ENE",431.398598279273
"65","Minute Maid Park","Houston Astros","astros","HOU",-6.59219868333301,434.602096879947,434.652090407866,"outfield_outer",-0.7,9,"ENE",434.652090407866
"66","Minute Maid Park","Houston Astros","astros","HOU",-20.3291652511191,432.170016490495,432.64789160841,"outfield_outer",-2,9,"ENE",432.64789160841
"67","Minute Maid Park","Houston Astros","astros","HOU",-32.2818103526274,423.690343377088,424.918371396951,"outfield_outer",-3.3,9,"ENE",424.918371396951
"68","Minute Maid Park","Houston Astros","astros","HOU",-42.9737906791104,413.716818028619,415.94272707316,"outfield_outer",-4.4,9,"ENE",415.94272707316
"69","Minute Maid Park","Houston Astros","astros","HOU",-54.2799528710691,404.414881791464,408.041309058396,"outfield_outer",-5.7,9,"ENE",408.041309058396
"70","Minute Maid Park","Houston Astros","astros","HOU",-65.7738261114708,395.310287422193,400.744830962495,"outfield_outer",-7.1,21,"ENE",400.744830962495
"71","Minute Maid Park","Houston Astros","astros","HOU",-77.2450041723427,386.178539252453,393.828204740015,"outfield_outer",-8.5,21,"ENE",393.828204740015
"72","Minute Maid Park","Houston Astros","astros","HOU",-88.6966566274421,377.020817607935,387.313560060376,"outfield_outer",-9.9,21,"ENE",387.313560060376
"73","Minute Maid Park","Houston Astros","astros","HOU",-100.167295645975,367.886821007505,381.27968761532,"outfield_outer",-11.4,21,"ENE",381.27968761532
"74","Minute Maid Park","Houston Astros","astros","HOU",-111.687099998935,358.815018487479,375.795457394501,"outfield_outer",-13,21,"ENE",375.795457394501
"75","Minute Maid Park","Houston Astros","astros","HOU",-123.1764200669,349.704524250353,370.763650782629,"outfield_outer",-14.6,21,"ENE",370.763650782629
"76","Minute Maid Park","Houston Astros","astros","HOU",-134.630197815413,340.549534210704,366.195679131998,"outfield_outer",-16.2,21,"ENE",366.195679131998
"77","Minute Maid Park","Houston Astros","astros","HOU",-145.882857877811,331.338848746291,362.032099282806,"outfield_outer",-17.8,21,"ENE",362.032099282806
"78","Minute Maid Park","Houston Astros","astros","HOU",-143.490629240051,316.872235327406,347.847055760276,"outfield_outer",-18.3,21,"ENE",347.847055760276
"79","Minute Maid Park","Houston Astros","astros","HOU",-144.495905853715,303.62074993364,336.250838807507,"outfield_outer",-19.1,21,"ENE",336.250838807507
"80","Minute Maid Park","Houston Astros","astros","HOU",-155.424577112972,293.84498582631,332.417921998815,"outfield_outer",-20.9,21,"ENE",332.417921998815
"81","Minute Maid Park","Houston Astros","astros","HOU",-166.343654001022,284.058290913229,329.179774383173,"outfield_outer",-22.8,21,"ENE",329.179774383173
"82","Minute Maid Park","Houston Astros","astros","HOU",-177.071583520325,274.065089616581,326.29131008493,"outfield_outer",-24.6,21,"ENE",326.29131008493
"83","Minute Maid Park","Houston Astros","astros","HOU",-187.554907994899,263.813036978481,323.688371729329,"outfield_outer",-26.6,21,"ENE",323.688371729329
"84","Minute Maid Park","Houston Astros","astros","HOU",-198.06717222488,253.590616917031,321.774464029576,"outfield_outer",-28.5,21,"ENE",321.774464029576
"85","Minute Maid Park","Houston Astros","astros","HOU",-208.580088806975,243.368901078905,320.52156785321,"outfield_outer",-30.4,21,"ENE",320.52156785321
"86","Minute Maid Park","Houston Astros","astros","HOU",-219.115509985552,233.170363821686,319.968787979337,"outfield_outer",-32.4,21,"ENE",319.968787979337
"87","Minute Maid Park","Houston Astros","astros","HOU",-229.608765345428,222.928504469348,320.027035152332,"outfield_outer",-34.4,21,"ENE",320.027035152332
"88","RingCentral Coliseum","Oakland Athletics","athletics","OAK",241.5466241332,231.665308696047,334.684309287694,"outfield_outer",34.6,8,"NE",334.684309287694
