batter_id_hand,batter_index,batter_a_gb,batter_a_ld,batter_a_fb,batter_a_pu,batter_s_gb,batter_s_ld,batter_s_fb,batter_s_pu,batter_mean_pull,batter_mean_oppo,batter_sigma_pull,batter_sigma_oppo,batter_alpha1,batter_alpha2,batter_beta1,batter_beta2,batter_w1,batter_w2
282332-0,0,6.17477631558587,6.8836460336342755,9.364339222892685,17.054355387273926,6.291841175088561,4.389011562233787,3.8944628606251808,2.6118197355612653,5.455200067445203,20.71947827907072,24.76243335073171,25.612638810036838,3.022445608932713,2.0703491018956273,8.958150883394826,1.9158510021134203,0.3068464249550218,0.6931535750449792
405395-1,1,5.943833488127152,6.487223193738371,7.996611907815388,18.19975709200481,5.587243636136231,4.263096832347573,4.2125408844393375,2.2560363738728904,6.798084070302392,22.829607124412373,26.1508776060352,27.173399966251036,3.449694336528902,1.6808259477906478,10.62885736017094,1.6082702456082285,0.4032406927674744,0.5967593072325253
408234-1,2,6.006347568038927,6.87834529888427,9.674252977379096,16.748891244438195,5.438948949337525,4.277805939116095,3.426597915025654,2.3432041031396644,-0.4280233105490061,19.308772182993156,22.688644415668662,22.365691425228054,3.4015179451438073,2.383247473763535,9.932298640352265,1.7800639477399447,0.25758125607631815,0.7424187439236827
425772-1,3,6.797344151123114,7.32569445855545,9.001248657324977,17.222086797228357,5.600326154483222,4.473045742151484,4.447503845767237,2.3880964168731063,8.02688520363939,23.642792284728202,23.501849429668724,25.13910201139886,3.2876136587660247,2.2040652408324677,8.881085217086762,1.9514956439205444,0.27339670700865615,0.7266032929913443
425783-0,4,5.561997038654281,7.439025286109613,7.689407848711765,13.774118310437078,6.272764466149058,3.4123010319590454,3.902934266215579,2.818713956608382,2.0411313121171286,19.527768341389585,22.541272690013688,22.80040014259426,3.172506731537631,2.1602860905606778,10.43369042035113,2.04527312569785,0.2822551706231976,0.7177448293768014
425784-1,5,5.468951022652279,7.397472508420143,8.38948979828328,15.31617765550368,7.540566184936502,4.843807963580626,3.8719554080161545,2.3946795182912353,5.288549740163051,22.957753736290005,25.91305952833031,26.327701126433016,3.6478045468545823,1.434075667916819,8.568251373661141,1.4561418176894596,0.3637318620789064,0.6362681379210923
425794-1,6,4.79507600484197,7.671222545766156,8.941484796159582,14.803886190536716,10.473489459340776,4.699990418896692,4.883325778437131,3.578808447586619,4.072721289509835,7.471629837999795,27.460502257641846,33.35198129945929,2.398778310756465,1.900727558061002,10.007364017784907,1.7553708104588146,0.26904007034264615,0.7309599296573542
425844-1,7,5.672235751503236,6.750731967698533,10.309836914441991,17.14900737932035,6.7263076395936405,3.936195826222395,4.000962889781013,2.597262300064969,3.4099428160958816,15.794487572946847,25.296553959340283,26.651811993950567,2.9564242613956777,2.043652599882326,8.390923283974308,1.6160087712475988,0.2728877159912027,0.7271122840087976
425877-1,8,8.443392459326999,8.051521105210371,10.712532243773845,18.380286721160925,4.5045400718031265,3.972093685640034,3.2107313536176774,2.4168986396770125,7.736618641298834,22.833495520843336,23.708021343777723,23.40148528599199,2.8012406778279666,1.9322118947121185,8.527005312222594,1.835055089167505,0.2857664996001837,0.7142335003998141
429664-0,9,5.145812302553271,5.984556707801518,8.132032613964132,17.655305187199858,6.206139172528952,4.818656768423021,4.392674528488509,2.572710042066021,0.5399211059574242,15.354622309876754,25.49314388405525,25.122947275112104,2.3835266583041625,1.9503080980772312,8.888213369361985,1.8415571835709665,0.2052717085368721,0.7947282914631286
